tokens_est	chars	path
746202	2984808	Aescripts-iExpressions 3 v3.2.002/iExpressions3.jsx
297198	1188793	Aescripts-Motioneer v1.1.3/Motioneer.jsx
281316	1125266	Aescripts-easyRulers 2 v2.01/easyRulers.jsx
261290	1045159	Aescripts-Font Manager v2.0.1 (WIN+MAC)/FontManager.jsx
245860	983439	Aescripts-Automation Toolkit v1.0.3.7/Automation-Toolkit.jsx
158485	633940	Aescripts-ReTrack 2.0_2.0.7/retrack 2_0.7/ReTrack.jsx
158485	633940	Aescripts-ReTrack 2.0_2.0.7/retrack 2_0 [Monter Group]/ReTrack.jsx
153435	613740	Aescripts-Cloners + Effectors v1.2.6/Cloners+Effectors.jsx
126956	507822	Aescripts-3D Primitives Generator v3/3D Primitives Generator v3.jsx
122419	489676	Aescripts-Limber v1.7.1 (WIN+MAC)/Limber.jsx
119884	479535	Aescripts-Textor v1.1.6/Textor.jsx
112574	450297	Aescripts-Flex v1.0.0/flex-v1.0.0/Flex.jsx
109461	437845	Aescripts-circuitFX v1.75/circuitFX.jsx
108056	432226	Aescripts-CuttanaNir v1.1/CuttanaNir.jsx
105500	421998	Aescripts-Ray Dynamic Color 2 v2.5.10/Ray Dynamic Color.jsx
97487	389947	Aescripts-Explode Shape Layers v3.5.2/Explode Shape Layers.jsx
92410	369639	Aescripts-Easy Bounce v1.00 (WIN+MAC)/EasyBounce.jsx
91681	366724	Aescripts-Editmonkey v1.03/EditMonkey.jsx
91231	364924	Aescripts-Sliced Box 3 v3.25/Sliced Box.jsx
89611	358443	Aescripts-Tool Launcher v1.4.2/Install Files/tl_bar.jsx
89525	358100	Aescripts-Tool Launcher v1.4.2/Install Files/tl_list.jsx
88904	355616	Aescripts-Explode Shape Layers v3.5.2/Headless Buttons/ESL_Merge.jsx
88602	354408	Aescripts-Explode Shape Layers v3.5.2/Headless Buttons/ESL_Convert.jsx
87246	348986	origami_fix.jsx
87246	348982	Aescripts-Origami v1.4.0/Origami.jsx
87204	348817	Aescripts-Explode Shape Layers v3.5.2/Headless Buttons/ESL_RemoveArtboard.jsx
86763	347052	Aescripts-Ray Dynamic Texture v1.5.6/Ray Dynamic Texture.jsx
86665	346659	Aescripts-Explode Shape Layers v3.5.2/Headless Buttons/ESL_Explode.jsx
86274	345097	Aescripts-CircusMonkey v1.05/CircusMonkey.jsx
85873	343491	Aescripts-Explode Shape Layers v3.5.2/Headless Buttons/ESL_SelectStroke.jsx
85869	343475	Aescripts-Explode Shape Layers v3.5.2/Headless Buttons/ESL_SelectFill.jsx
82318	329274	Aescripts-Randomatic 2 v2.03/Randomatic 2.jsx
80625	322501	Aescripts-KEYboard v1.2.5/01-Key-board.jsx
78876	315502	Aescripts-Tool Launcher v1.4.2/Other/tl_packCreator.jsx
77682	310727	Aescripts-Joysticks 'n Sliders v1.7.4/Joysticks_n_Sliders.jsx
76886	307546	Aescripts-Infographics toolkit v1.04/Script/Infographics Toolkit.jsx
75986	303944	Aescripts-GifGun1.7.23/GifGun.jsx
70054	280215	Aescripts-Marker Remap v1.4/Marker Remap.jsx
68936	275745	Aescripts-ColorSwap 1.0/ColorSwap.jsx
68096	272383	Aescripts-MonkeyWords v1.00/MonkeyWords.jsx
67215	268860	Aescripts-Anchor Sniper v1.0/Anchor_Sniper_v1.0.jsx
65190	260762	Davey Studio-FreqReact v1.5/FreqReact v1.5.jsx
64719	258877	Aescripts-Loopy V1.0/Loopy.jsx
62674	250696	Aescripts-TypeMonkey v1.18/TypeMonkey v1.18/TypeMonkey.jsx
62502	250008	Aescripts-MazeFX v1.32/mazeFX.jsx
61798	247194	Aescripts-TextExploder 2 v2.0.004/TextExploder.jsx
59478	237911	Aescripts-AE Global Renamer v2.3.5/AE Global Renamer 2.jsx
57700	230800	Aescripts-Mask Transformer v1.0.8/Mask Transformer.jsx
57468	229870	Aescripts-AutoCircularMotion v1.0.3/AutoCircularMotion.jsx
57182	228728	Aescripts-Faux Parent 1.1/Faux Parent.jsx
55145	220581	Aescripts-Easy Arrows Script v1.5.2/Easy Arrows v1.5.2.jsx
55039	220156	Aescripts-Splash v1.03/Splash.jsx
53130	212518	Aescripts-ExpressionUniversalizer v4.0.5/ExpressionUniversalizer.jsx
52906	211623	Aescripts-Easy Clones v1.1/Easy Clones.jsx
52340	209360	Aescripts-Type Morph v2.0 (WIN+MAC)/Type Morph.jsx
51765	207059	Aescripts-Crazy Shapes 1.1.1/crazy_shapes/panel/jsx/main.jsx
51364	205454	Divers/VR Comp Editor.jsx
50645	202580	Aescripts-LoopMaster v1 0 WIN MAC/LoopMaster.jsx
45474	181896	Aescripts-AEInfoGraphics v2.0.3/AEInfoGraphics2/panel/jsx/main.jsx
44808	179230	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/esprima.jsx
44808	179230	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/esprima.jsx
43686	174746	Aescripts-KBar3 v3.1.1/kbar-3.1.1/all.jsx
39715	158861	Aescripts-Isomatic FX 1.6 for After Effects/IsoMatic FX.jsx
39594	158376	Aescripts-Ripple Edit v1.13 (WIN+MAC)/Ripple Edit.jsx
38677	154709	Aescripts-AW Autosaver v2.1/aw_Autosaver.jsx
38497	153987	Aescripts-Tool Launcher v1.4.2/Install Files/tl_panel.jsx
38444	153776	Aescripts-RenderHogs v1.11/djRenderHogs v1.11.jsx
38269	153075	Aescripts-Text Chain v2.0/Text Chain.jsx
37776	151103	Aescripts-BorderPatrol v1.0.3/BorderPatrol.jsx
37328	149313	Aescripts-MarkerMaestro v1.0/MarkerMaestro.jsx
36028	144113	Aescripts-Blenderae v1.0.0/BlenderAe_Import.jsx
35515	142061	Aescripts-Pro IO v2.16.2/Pro_IO_v2.16.2/com.aescripts.proio/jsx/pro_io.jsx
34976	139906	Aescripts-Trails 1.02 for After Effects/Trails.jsx
33346	133383	Aescripts-Duplicate Frame Remover v3.0/DuplicateFrameRemover.jsx
33265	133061	Aescripts-Stretch it v2.1 (WIN+MAC)/Stretch-it 2.jsx
32632	130528	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/escodegen_.jsx
32632	130528	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/escodegen.jsx
32632	130528	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/escodegen_.jsx
32632	130528	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/escodegen.jsx
32462	129848	Aescripts-Talking Head v2.0.1/Talking Head v2.0.1.jsx
32371	129485	Aescripts-Social Importer 1.0.3 for After Effects/Social Importer/panel-extendscript.jsx
30031	120123	Aescripts-Blenderae v1.0.0/BlenderAe_Help.jsx
25097	100389	Aescripts-Magic Switcher v1.4/Magic Switcher.jsx
22988	91954	Aescripts-FX StrokeSetter v1.0 (WIN+MAC)/FX_StrokeSetter.jsx
20742	82966	Aescripts-Good Parents v1.4.1/goodParents.jsx
20476	81903	Aescripts-Anchor Point Gravity v1.0.2/Anchor Point Gravity.jsx
19196	76784	Aescripts-Boxcam v2.5/Boxcam 2.5.jsx
18908	75633	Aescripts-Credits Are Due v1.0/Credits Are Due 1.0.jsx
18056	72225	Divers/RepositionAnchorPoint.jsx
17016	68063	Aescripts-True Comp Duplicator v3.9.11-3.9.13 + Sample project/True Comp Duplicator 3.9.13/True Comp Duplicator.jsx
17011	68045	Aescripts-True Comp Duplicator v3.9.11-3.9.13 + Sample project/True Comp Duplicator 3.9.12/True Comp Duplicator.jsx
15010	60041	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/reports/effectsMessageTypes.jsx
15010	60041	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/reports/effectsMessageTypes.jsx
12530	50120	Aescripts-True Comp Duplicator v3.9.11-3.9.13 + Sample project/True Comp Duplicator 3.9.11/True Comp Duplicator.jsx
11170	44678	Aescripts-Pro IO v2.16.2/Pro_IO_v2.16.2/com.aescripts.proio/jsx/extensions.jsx
8570	34281	Aescripts-Advanced Selection v1.5 (WIN+MAC)/Advanced Layer Selection.jsx
8556	34224	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/PropertyFactory.jsx
8556	34224	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/PropertyFactory.jsx
7685	30740	Aescripts-Pixel Bender Accelerator v1.23 for After Effects/Win/script/PBA_Launcher.jsx
7262	29050	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/shapeHelper.jsx
7262	29050	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/shapeHelper.jsx
7168	28673	Divers/Super Resize Me!.jsx
6699	26797	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/sourceHelper.jsx
6699	26797	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/sourceHelper.jsx
5911	23644	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/renderManager.jsx
5911	23644	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/renderManager.jsx
5445	21781	Aescripts-Bodymovin v5.7.14/bodymovin/jsx/utils/keyframeHelper.jsx
5445	21781	Aescripts-Bodymovin 5.9.5/bodymovin/jsx/utils/keyframeHelper.jsx
5168	20670	Divers/Randomizer.jsx
5151	20603	Aescripts-Cloners + Effectors v1.2.6/ClonersTextSplit.jsx
4798	19190	Aescripts-Cloners + Effectors v1.2.6/ClonersShapeSplit.jsx
4490	17962	Divers/DecomposeText.jsx
